Artifact Creator | Short Id | Miner algo | Log | Miner Duration | Estimator Duration | LOG_EVENT_COUNT | LOG_TRACE_COUNT | MODEL_ENTITY_COUNT | MODEL_EDGE_COUNT | ALPHA_PRECISION_UNRESTRICTED | EARTH_MOVERS_LIGHT_COVERAGE | Run file | Machine | 
align-inductive_BPIC2013_closed_k1 | align-inductive | inductive | BPIC2013 closed | 166 | 213 | 1357 | 299 | 6 | 6 | 0.998 | 0.7129617755821109 | mrun_align-inductive_BPIC2013_closed_k1.xml | cl5n022.ib0.hpc.qut.edu.au | 
align-inductive_BPIC2013_closed_k2 | align-inductive | inductive | BPIC2013 closed | 7 | 45 | 1309 | 298 | 6 | 6 | 1.0 | 0.6168338064710819 | mrun_align-inductive_BPIC2013_closed_k2.xml | cl5n022.ib0.hpc.qut.edu.au | 
align-inductive_BPIC2013_closed_k3 | align-inductive | inductive | BPIC2013 closed | 7 | 34 | 1311 | 298 | 9 | 10 | 0.993 | 0.7586922584903646 | mrun_align-inductive_BPIC2013_closed_k3.xml | cl5n022.ib0.hpc.qut.edu.au | 
align-inductive_BPIC2013_closed_k4 | align-inductive | inductive | BPIC2013 closed | 9 | 33 | 1274 | 298 | 9 | 10 | 0.99 | 0.6956392697257205 | mrun_align-inductive_BPIC2013_closed_k4.xml | cl5n022.ib0.hpc.qut.edu.au | 
align-inductive_BPIC2013_closed_k5 | align-inductive | inductive | BPIC2013 closed | 5 | 32 | 1409 | 294 | 6 | 6 | 0.998 | 0.7172022851226292 | mrun_align-inductive_BPIC2013_closed_k5.xml | cl5n022.ib0.hpc.qut.edu.au | 
fe-split_BPIC2013_closed_k1 | fe-split | split | BPIC2013 closed | 832 | 38 | 1357 | 299 | 17 | 20 | 0.738 | 0.6730755212520754 | mrun_fe-split_BPIC2013_closed_k1.xml | cl4n007.ib0.hpc.qut.edu.au | 
fe-split_BPIC2013_closed_k2 | fe-split | split | BPIC2013 closed | 734 | 15 | 1309 | 298 | 15 | 18 | 0.996 | 0.6168338064710819 | mrun_fe-split_BPIC2013_closed_k2.xml | cl4n007.ib0.hpc.qut.edu.au | 
fe-split_BPIC2013_closed_k3 | fe-split | split | BPIC2013 closed | 739 | 13 | 1311 | 298 | 17 | 20 | 0.809 | 0.647973158937009 | mrun_fe-split_BPIC2013_closed_k3.xml | cl4n007.ib0.hpc.qut.edu.au | 
fe-split_BPIC2013_closed_k4 | fe-split | split | BPIC2013 closed | 723 | 12 | 1274 | 298 | 17 | 20 | 0.721 | 0.8135297129654336 | mrun_fe-split_BPIC2013_closed_k4.xml | cl4n007.ib0.hpc.qut.edu.au | 
fe-split_BPIC2013_closed_k5 | fe-split | split | BPIC2013 closed | 716 | 13 | 1409 | 294 | 14 | 16 | 0.997 | 0.6202414263786149 | mrun_fe-split_BPIC2013_closed_k5.xml | cl4n007.ib0.hpc.qut.edu.au | 
msaprh-split_BPIC2013_closed_k1 | msaprh-split | split | BPIC2013 closed | 832 | 53 | 1357 | 299 | 17 | 20 | 0.702 | 0.9411847218478846 | mrun_msaprh-split_BPIC2013_closed_k1.xml | cl4n019.ib0.hpc.qut.edu.au | 
msaprh-split_BPIC2013_closed_k2 | msaprh-split | split | BPIC2013 closed | 734 | 15 | 1309 | 298 | 15 | 18 | 0.845 | 0.8634579642891472 | mrun_msaprh-split_BPIC2013_closed_k2.xml | cl4n019.ib0.hpc.qut.edu.au | 
msaprh-split_BPIC2013_closed_k3 | msaprh-split | split | BPIC2013 closed | 739 | 13 | 1311 | 298 | 17 | 20 | 0.702 | 0.9403049367251619 | mrun_msaprh-split_BPIC2013_closed_k3.xml | cl4n019.ib0.hpc.qut.edu.au | 
msaprh-split_BPIC2013_closed_k4 | msaprh-split | split | BPIC2013 closed | 723 | 12 | 1274 | 298 | 17 | 20 | 0.713 | 0.9395936356111928 | mrun_msaprh-split_BPIC2013_closed_k4.xml | cl4n019.ib0.hpc.qut.edu.au | 
msaprh-split_BPIC2013_closed_k5 | msaprh-split | split | BPIC2013 closed | 716 | 14 | 1409 | 294 | 14 | 16 | 0.815 | 0.8850518808960205 | mrun_msaprh-split_BPIC2013_closed_k5.xml | cl4n019.ib0.hpc.qut.edu.au | 
GDT_SPN discovery | rssmt | rssmt | BPIC2013 closed k1 | 630 | 0 | 1357 | 299 | 31 | 38 | 0.069 | 0.5504957250223956 | mrun_rssmt_BPIC2013_closed_k1.xml | SEF-PA00143522 | 
ToothpasteMinerHP | tmh | tmh | BPIC2013 closed k1 | 6261 | 0 | 1357 | 299 | 425 | 476 | 0.514 | 0.7731656082444617 | mrun_tmh_BPIC2013_closed_k1.xml | SEF-PA00143522 | 
Trace Model With Unity Weights | trace | trace | BPIC2013 closed k1 | 35 | 0 | 1357 | 299 | 2417 | 2714 | 0.893 | 0.9743262473538562 | mrun_trace_BPIC2013_closed_k1.xml | SEF-PA00143522 | 
GDT_SPN discovery | rssmt | rssmt | BPIC2013 closed k2 | 91 | 0 | 1309 | 298 | 25 | 30 | 0.0 | 0.7501464387448222 | mrun_rssmt_BPIC2013_closed_k2.xml | SEF-PA00143522 | 
ToothpasteMinerHP | tmh | tmh | BPIC2013 closed k2 | 2070 | 0 | 1309 | 298 | 367 | 420 | 0.824 | 0.9077324185205292 | mrun_tmh_BPIC2013_closed_k2.xml | SEF-PA00143522 | 
Trace Model With Unity Weights | trace | trace | BPIC2013 closed k2 | 7 | 0 | 1309 | 298 | 2322 | 2618 | 0.909 | 0.9691059822655266 | mrun_trace_BPIC2013_closed_k2.xml | SEF-PA00143522 | 
GDT_SPN discovery | rssmt | rssmt | BPIC2013 closed k3 | 78 | 0 | 1311 | 298 | 25 | 30 | 0.0 | 0.7545438244812456 | mrun_rssmt_BPIC2013_closed_k3.xml | SEF-PA00143522 | 
ToothpasteMinerHP | tmh | tmh | BPIC2013 closed k3 | 2005 | 0 | 1311 | 298 | 390 | 440 | 0.844 | 0.9041314921611103 | mrun_tmh_BPIC2013_closed_k3.xml | SEF-PA00143522 | 
Trace Model With Unity Weights | trace | trace | BPIC2013 closed k3 | 7 | 0 | 1311 | 298 | 2326 | 2622 | 0.926 | 0.9674197459443226 | mrun_trace_BPIC2013_closed_k3.xml | SEF-PA00143522 | 
GDT_SPN discovery | rssmt | rssmt | BPIC2013 closed k4 | 47 | 0 | 1274 | 298 | 25 | 30 | 0.0 | 0.7466009495939243 | mrun_rssmt_BPIC2013_closed_k4.xml | SEF-PA00143522 | 
ToothpasteMinerHP | tmh | tmh | BPIC2013 closed k4 | 1969 | 0 | 1274 | 298 | 369 | 408 | 0.842 | 0.7579013780197128 | mrun_tmh_BPIC2013_closed_k4.xml | SEF-PA00143522 | 
Trace Model With Unity Weights | trace | trace | BPIC2013 closed k4 | 5 | 0 | 1274 | 298 | 2252 | 2548 | 0.941 | 0.9697916712090466 | mrun_trace_BPIC2013_closed_k4.xml | SEF-PA00143522 | 
GDT_SPN discovery | rssmt | rssmt | BPIC2013 closed k5 | 59 | 0 | 1409 | 294 | 20 | 24 | 0.0 | 0.5297902554733971 | mrun_rssmt_BPIC2013_closed_k5.xml | SEF-PA00143522 | 
ToothpasteMinerHP | tmh | tmh | BPIC2013 closed k5 | 2010 | 0 | 1409 | 294 | 624 | 688 | 0.855 | 0.9568021090413693 | mrun_tmh_BPIC2013_closed_k5.xml | SEF-PA00143522 | 
Trace Model With Unity Weights | trace | trace | BPIC2013 closed k5 | 6 | 0 | 1409 | 294 | 2526 | 2818 | 0.901 | 0.9728638186860552 | mrun_trace_BPIC2013_closed_k5.xml | SEF-PA00143522 | 
align-inductive_BPIC2018_control_k1 | align-inductive | inductive | BPIC2018 control | 314 | 937 | 31925 | 8763 | 23 | 28 | 0.973 | 0.9442928845739327 | mrun_align-inductive_BPIC2018_control_k1.xml | cl5n015.ib0.hpc.qut.edu.au | 
align-inductive_BPIC2018_control_k2 | align-inductive | inductive | BPIC2018 control | 261 | 693 | 32154 | 8762 | 23 | 28 | 0.966 | 0.9447678587708773 | mrun_align-inductive_BPIC2018_control_k2.xml | cl5n015.ib0.hpc.qut.edu.au | 
align-inductive_BPIC2018_control_k3 | align-inductive | inductive | BPIC2018 control | 50 | 698 | 32378 | 8762 | 20 | 24 | 0.995 | 0.9691669107632069 | mrun_align-inductive_BPIC2018_control_k3.xml | cl5n015.ib0.hpc.qut.edu.au | 
align-inductive_BPIC2018_control_k4 | align-inductive | inductive | BPIC2018 control | 63 | 699 | 32573 | 8762 | 22 | 26 | 0.966 | 0.9689923452895876 | mrun_align-inductive_BPIC2018_control_k4.xml | cl5n015.ib0.hpc.qut.edu.au | 
align-inductive_BPIC2018_control_k5 | align-inductive | inductive | BPIC2018 control | 44 | 671 | 32266 | 8759 | 21 | 26 | 0.995 | 0.9803167570054196 | mrun_align-inductive_BPIC2018_control_k5.xml | cl5n015.ib0.hpc.qut.edu.au | 
fe-split_BPIC2018_control_k1 | fe-split | split | BPIC2018 control | 1574 | 739 | 31925 | 8763 | 18 | 22 | 0.998 | 0.7146901131446219 | mrun_fe-split_BPIC2018_control_k1.xml | cl4n072.ib0.hpc.qut.edu.au | 
fe-split_BPIC2018_control_k2 | fe-split | split | BPIC2018 control | 1506 | 677 | 32154 | 8762 | 18 | 22 | 0.995 | 0.7148626199642654 | mrun_fe-split_BPIC2018_control_k2.xml | cl4n072.ib0.hpc.qut.edu.au | 
fe-split_BPIC2018_control_k3 | fe-split | split | BPIC2018 control | 1522 | 690 | 32378 | 8762 | 22 | 26 | 0.875 | 0.855481610772161 | mrun_fe-split_BPIC2018_control_k3.xml | cl4n072.ib0.hpc.qut.edu.au | 
fe-split_BPIC2018_control_k4 | fe-split | split | BPIC2018 control | 1489 | 676 | 32573 | 8762 | 22 | 26 | 0.68 | 0.8929574348616915 | mrun_fe-split_BPIC2018_control_k4.xml | cl4n072.ib0.hpc.qut.edu.au | 
fe-split_BPIC2018_control_k5 | fe-split | split | BPIC2018 control | 1491 | 665 | 32266 | 8759 | 23 | 28 | 0.76 | 0.8309970642124578 | mrun_fe-split_BPIC2018_control_k5.xml | cl4n072.ib0.hpc.qut.edu.au | 
msaprh-split_BPIC2018_control_k1 | msaprh-split | split | BPIC2018 control | 1574 | 767 | 31925 | 8763 | 18 | 22 | 0.995 | 0.9404222581954187 | mrun_msaprh-split_BPIC2018_control_k1.xml | cl4n091.ib0.hpc.qut.edu.au | 
msaprh-split_BPIC2018_control_k2 | msaprh-split | split | BPIC2018 control | 1506 | 649 | 32154 | 8762 | 18 | 22 | 0.993 | 0.940553370716934 | mrun_msaprh-split_BPIC2018_control_k2.xml | cl4n091.ib0.hpc.qut.edu.au | 
msaprh-split_BPIC2018_control_k3 | msaprh-split | split | BPIC2018 control | 1522 | 653 | 32378 | 8762 | 22 | 26 | 0.834 | 0.8970235660020988 | mrun_msaprh-split_BPIC2018_control_k3.xml | cl4n091.ib0.hpc.qut.edu.au | 
msaprh-split_BPIC2018_control_k4 | msaprh-split | split | BPIC2018 control | 1489 | 655 | 32573 | 8762 | 22 | 26 | 0.831 | 0.8976138502243493 | mrun_msaprh-split_BPIC2018_control_k4.xml | cl4n091.ib0.hpc.qut.edu.au | 
